ds,y
1/1/2007,5999
2/1/2007,18538
3/1/2007,13516
4/1/2007,14928
5/1/2007,14337
6/1/2007,14206
7/1/2007,15286
8/1/2007,16538
9/1/2007,16994
10/1/2007,13545
11/1/2007,15448
12/1/2007,20265
1/1/2008,5859
2/1/2008,12006
3/1/2008,14431
4/1/2008,19373
5/1/2008,12811
6/1/2008,18436
7/1/2008,14316
8/1/2008,17031
9/1/2008,16128
10/1/2008,14198
11/1/2008,17406
12/1/2008,18687
1/1/2009,8831
2/1/2009,18536
3/1/2009,18144
4/1/2009,15360
5/1/2009,19566
6/1/2009,18058
7/1/2009,19393
8/1/2009,22389
9/1/2009,16664
10/1/2009,15322
11/1/2009,14803
12/1/2009,22839
1/1/2010,9507
2/1/2010,23261
3/1/2010,24843
4/1/2010,21030
5/1/2010,20586
6/1/2010,22426
7/1/2010,21142
8/1/2010,24148
9/1/2010,19618
10/1/2010,20664
11/1/2010,19958
12/1/2010,25265
1/1/2011,12368
2/1/2011,22333
3/1/2011,20546
4/1/2011,17727
5/1/2011,18851
6/1/2011,19422
7/1/2011,21137
8/1/2011,22552
9/1/2011,18603
10/1/2011,21403
11/1/2011,24045
12/1/2011,20323
1/1/2012,10394
2/1/2012,17116
3/1/2012,17345
4/1/2012,17405
5/1/2012,17512
6/1/2012,18364
7/1/2012,18083
8/1/2012,15455
9/1/2012,9359
10/1/2012,12409
11/1/2012,15354
12/1/2012,18558
1/1/2013,6034
2/1/2013,18117
3/1/2013,15035
4/1/2013,15449
5/1/2013,14739
6/1/2013,18815
7/1/2013,17965
8/1/2013,14131
9/1/2013,14439
10/1/2013,14883
11/1/2013,27013
12/1/2013,18421
1/1/2014,7652
2/1/2014,17936
3/1/2014,16133
4/1/2014,20564
5/1/2014,21636
6/1/2014,29287
7/1/2014,13387
8/1/2014,12850
9/1/2014,17298
10/1/2014,25340
11/1/2014,29063
12/1/2014,23764
1/1/2015,7538
2/1/2015,13379
3/1/2015,16147
4/1/2015,17280
5/1/2015,13786
6/1/2015,21161
7/1/2015,12352
8/1/2015,13803
9/1/2015,15493
10/1/2015,17894
11/1/2015,21313
12/1/2015,20618
1/1/2016,9825
2/1/2016,15661
3/1/2016,15542
4/1/2016,18983
5/1/2016,21367
6/1/2016,16027
7/1/2016,15984
8/1/2016,16657
9/1/2016,18517
10/1/2016,19707
11/1/2016,26257
12/1/2016,24591
1/1/2017,8543
2/1/2017,17970
3/1/2017,18154
4/1/2017,18147
5/1/2017,19534
6/1/2017,21340
7/1/2017,14329
8/1/2017,14490
9/1/2017,16260
10/1/2017,17718
11/1/2017,19847
12/1/2017,21684
