ds,y
1/1/2005,0.022
2/1/2005,0.024
3/1/2005,0.032
4/1/2005,0.036
5/1/2005,0.039
6/1/2005,0.04
7/1/2005,0.042
8/1/2005,0.041
9/1/2005,0.038
10/1/2005,0.034
11/1/2005,0.028
12/1/2005,0.027
1/1/2006,0.032
2/1/2006,0.034
3/1/2006,0.047
4/1/2006,0.052
5/1/2006,0.057
6/1/2006,0.058
7/1/2006,0.06
8/1/2006,0.06
9/1/2006,0.055
10/1/2006,0.05
11/1/2006,0.041
12/1/2006,0.039
1/1/2007,0.044
2/1/2007,0.048
3/1/2007,0.066
4/1/2007,0.073
5/1/2007,0.08
6/1/2007,0.081
7/1/2007,0.085
8/1/2007,0.084
9/1/2007,0.077
10/1/2007,0.07
11/1/2007,0.057
12/1/2007,0.055
1/1/2008,0.071
2/1/2008,0.077
3/1/2008,0.106
4/1/2008,0.117
5/1/2008,0.129
6/1/2008,0.13
7/1/2008,0.136
8/1/2008,0.135
9/1/2008,0.123
10/1/2008,0.112
11/1/2008,0.092
12/1/2008,0.087
1/1/2009,0.095
2/1/2009,0.102
3/1/2009,0.141
4/1/2009,0.155
5/1/2009,0.171
6/1/2009,0.173
7/1/2009,0.182
8/1/2009,0.18
9/1/2009,0.164
10/1/2009,0.149
11/1/2009,0.123
12/1/2009,0.116
1/1/2010,0.145
2/1/2010,0.157
3/1/2010,0.216
4/1/2010,0.238
5/1/2010,0.264
6/1/2010,0.266
7/1/2010,0.279
8/1/2010,0.276
9/1/2010,0.252
10/1/2010,0.229
11/1/2010,0.188
12/1/2010,0.179
1/1/2011,0.237
2/1/2011,0.257
3/1/2011,0.354
4/1/2011,0.391
5/1/2011,0.432
6/1/2011,0.439
7/1/2011,0.459
8/1/2011,0.455
9/1/2011,0.413
10/1/2011,0.376
11/1/2011,0.307
12/1/2011,0.291
1/1/2012,0.388
2/1/2012,0.42
3/1/2012,0.577
4/1/2012,0.638
5/1/2012,0.703
6/1/2012,0.711
7/1/2012,0.749
8/1/2012,0.74
9/1/2012,0.676
10/1/2012,0.614
11/1/2012,0.504
12/1/2012,0.476
1/1/2013,0.468
2/1/2013,0.505
3/1/2013,0.697
4/1/2013,0.77
5/1/2013,0.848
6/1/2013,0.857
7/1/2013,0.897
8/1/2013,0.889
9/1/2013,0.812
10/1/2013,0.74
11/1/2013,0.607
12/1/2013,0.575
1/1/2014,0.593
2/1/2014,0.629
3/1/2014,0.895
4/1/2014,0.977
5/1/2014,1.075
6/1/2014,1.088
7/1/2014,1.132
8/1/2014,1.121
9/1/2014,1.022
10/1/2014,0.966
11/1/2014,0.778
12/1/2014,0.716
1/1/2015,0.75
2/1/2015,0.802
3/1/2015,1.13
4/1/2015,1.226
5/1/2015,1.363
6/1/2015,1.36
7/1/2015,1.418
8/1/2015,1.393
9/1/2015,1.275
10/1/2015,1.179
11/1/2015,0.946
12/1/2015,0.88
1/1/2016,1.058
2/1/2016,1.167
3/1/2016,1.599
4/1/2016,1.742
5/1/2016,1.923
6/1/2016,1.929
7/1/2016,2
8/1/2016,1.959
9/1/2016,1.775
10/1/2016,1.629
11/1/2016,1.297
12/1/2016,1.191
1/1/2017,1.145
2/1/2017,1.279
3/1/2017,1.84
4/1/2017,1.999
5/1/2017,2.235
6/1/2017,2.265
7/1/2017,2.369
8/1/2017,2.311
9/1/2017,2.091
10/1/2017,1.881
11/1/2017,1.457
12/1/2017,1.295
