ds,y
1/1/2005,162.518
2/1/2005,153.759
3/1/2005,156.994
4/1/2005,151.019
5/1/2005,154.153
6/1/2005,151.586
7/1/2005,159.215
8/1/2005,158.659
9/1/2005,152.808
10/1/2005,157.214
11/1/2005,152.53
12/1/2005,160.295
1/1/2006,170.915
2/1/2006,149.648
3/1/2006,158.205
4/1/2006,152.179
5/1/2006,156.032
6/1/2006,155.271
7/1/2006,164.518
8/1/2006,163.552
9/1/2006,159.264
10/1/2006,165.145
11/1/2006,162.144
12/1/2006,168.863
1/1/2007,166.364
2/1/2007,151.614
3/1/2007,163.862
4/1/2007,160.712
5/1/2007,162.222
6/1/2007,158.019
7/1/2007,165.408
8/1/2007,163.064
9/1/2007,158.665
10/1/2007,166.726
11/1/2007,165.898
12/1/2007,175.413
1/1/2008,186.135
2/1/2008,163.637
3/1/2008,170.853
4/1/2008,169.161
5/1/2008,172.651
6/1/2008,163.773
7/1/2008,170.695
8/1/2008,170.751
9/1/2008,163.165
10/1/2008,171.863
11/1/2008,168.827
12/1/2008,163.614
1/1/2009,158.795
2/1/2009,148.396
3/1/2009,159.598
4/1/2009,152.401
5/1/2009,159.05
6/1/2009,159.591
7/1/2009,170.649
8/1/2009,174.06
9/1/2009,165.765
10/1/2009,173.933
11/1/2009,172.441
12/1/2009,177.768
1/1/2010,194.785
2/1/2010,179.413
3/1/2010,197.785
4/1/2010,190.466
5/1/2010,193.021
6/1/2010,191.139
7/1/2010,197.776
8/1/2010,199.176
9/1/2010,194.227
10/1/2010,199.827
11/1/2010,198.872
12/1/2010,206.987
1/1/2011,209.042
2/1/2011,186.355
3/1/2011,203.086
4/1/2011,192.144
5/1/2011,194.716
6/1/2011,198.315
7/1/2011,201.189
8/1/2011,202.272
9/1/2011,196.367
10/1/2011,200.42
11/1/2011,203.727
12/1/2011,213.257
1/1/2012,208.872
2/1/2012,195.373
3/1/2012,200.899
4/1/2012,191.354
5/1/2012,200.614
6/1/2012,195.076
7/1/2012,197.451
8/1/2012,200.798
9/1/2012,193.007
10/1/2012,197.909
11/1/2012,197.209
12/1/2012,204.117
1/1/2013,204.411
2/1/2013,185.058
3/1/2013,202.865
4/1/2013,197.366
5/1/2013,205.421
6/1/2013,203.855
7/1/2013,213.432
8/1/2013,207.521
9/1/2013,196.728
10/1/2013,207.317
11/1/2013,207.26
12/1/2013,218.053
1/1/2014,209.709
2/1/2014,189.844
3/1/2014,208.594
4/1/2014,203.374
5/1/2014,206.705
6/1/2014,206.743
7/1/2014,213.252
8/1/2014,212.053
9/1/2014,200.73
10/1/2014,208.451
11/1/2014,206.005
12/1/2014,218.733
1/1/2015,215.448
2/1/2015,193.059
3/1/2015,207.357
4/1/2015,202.745
5/1/2015,209.795
6/1/2015,205.794
7/1/2015,213.177
8/1/2015,211.704
9/1/2015,202.523
10/1/2015,206.956
11/1/2015,207.313
12/1/2015,215.484
1/1/2016,212.128
2/1/2016,199.811
3/1/2016,209.618
4/1/2016,196.409
5/1/2016,206.979
6/1/2016,205.276
7/1/2016,211.42
8/1/2016,212.508
9/1/2016,199.777
10/1/2016,206.662
11/1/2016,208.036
12/1/2016,234.113
1/1/2017,213.549
2/1/2017,193.247
3/1/2017,211.837
4/1/2017,199.179
5/1/2017,206.466
6/1/2017,205.395
7/1/2017,211.153
8/1/2017,214.78
9/1/2017,198.359
10/1/2017,208.158
11/1/2017,210.376
12/1/2017,217.101
